Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Tipo: Municipio / Isla / Área no municipalizada,longitud,Latitud,IATA,ICAO,Airport name,Country,City,Information
25,CUNDINAMARCA,25438,medina,Municipio,"-73,348449","4,506298",MND,,Medina Airport,Colombia,medina,https://www.worlddata.info/america/colombia/airports.php
25,CUNDINAMARCA,25530,paratebueno,Municipio,"-73,212825","4,374832",EUO,,Paratebueno Airport,Colombia,paratebueno,https://www.worlddata.info/america/colombia/airports.php
27,CHOCÓ,27001,quibdó,Municipio,"-76,638144","5,682166",UIB,SKUI,El Caraño Airport,Colombia,quibdó,https://www.worlddata.info/america/colombia/airports.php
27,CHOCÓ,27006,acandí,Municipio,"-77,279951","8,512178",ACD,SKAD,Alcides Fernández Airport,Colombia,acandí,https://www.worlddata.info/america/colombia/airports.php
27,CHOCÓ,27006,acandí,Municipio,"-77,279951","8,512178",CPB,SKCA,Capurganá Airport,Colombia,acandí,https://www.worlddata.info/america/colombia/airports.php
27,CHOCÓ,27075,bahía solano,Municipio,"-77,401359","6,222807",BSC,SKBS,José Celestino Mutis Airport,Colombia,bahía solano,https://www.worlddata.info/america/colombia/airports.php
27,CHOCÓ,27205,condoto,Municipio,"-76,650683","5,091003",COG,SKCD,Mandinga Airport,Colombia,condoto,https://www.worlddata.info/america/colombia/airports.php
27,CHOCÓ,27495,nuquí,Municipio,"-77,265507","5,709812",NQU,SKNQ,Reyes Murillo Airport,Colombia,nuquí,https://www.worlddata.info/america/colombia/airports.php
27,CHOCÓ,27800,unguía,Municipio,"-77,092538","8,04406",UNC,,Unguía Airport,Colombia,unguía,https://www.worlddata.info/america/colombia/airports.php
41,HUILA,41001,neiva,Municipio,"-75,277327","2,935432",NVA,SKNV,Benito Salas Airport,Colombia,neiva,https://www.worlddata.info/america/colombia/airports.php
41,HUILA,41551,pitalito,Municipio,"-76,049441","1,852631",PTX,SKPI,Pitalito Airport,Colombia,pitalito,https://www.worlddata.info/america/colombia/airports.php
44,LA GUAJIRA,44001,riohacha,Municipio,"-72,911795","11,528588",RCH,SKRH,Almirante Padilla Airport,Colombia,riohacha,https://www.worlddata.info/america/colombia/airports.php
47,MAGDALENA,47001,santa marta,Municipio,"-74,199829","11,204679",SMR,SKSM,Simón Bolívar International Airport,Colombia,santa marta,https://www.worlddata.info/america/colombia/airports.php
47,MAGDALENA,47245,el banco,Municipio,"-73,97437","9,008503",ELB,SKBC,Las Flores Airport,Colombia,el banco,https://www.worlddata.info/america/colombia/airports.php
47,MAGDALENA,47288,fundación,Municipio,"-74,191453","10,514146",FDA,SKFU,Fundación Airport,Colombia,fundación,https://www.worlddata.info/america/colombia/airports.php
47,MAGDALENA,47555,plato,Municipio,"-74,784549","9,796713",PLT,SKPL,Plato Airport,Colombia,plato,https://www.worlddata.info/america/colombia/airports.php
50,META,50001,villavicencio,Municipio,"-73,622601","4,126369",VVC,SKVV,Vanguardia Airport,Colombia,villavicencio,https://www.worlddata.info/america/colombia/airports.php
50,META,50350,la macarena,Municipio,"-73,78661","2,177143",LMC,SKNA,La Macarena Airport,Colombia,la macarena,https://www.worlddata.info/america/colombia/airports.php
50,META,50573,puerto lópez,Municipio,"-72,957324","4,09349",CCO,SKCI,Carimagua Airport,Colombia,puerto lópez,https://www.worlddata.info/america/colombia/airports.php
50,META,50590,puerto rico,Municipio,"-73,206314","2,939621",PCC,,Puerto Rico Airport,Colombia,puerto rico,https://www.worlddata.info/america/colombia/airports.php
52,NARIÑO,52240,chachagüí,Municipio,"-77,281869","1,360545",PSO,SKPS,Antonio Nariño Airport,Colombia,chachagüí,https://www.worlddata.info/america/colombia/airports.php
52,NARIÑO,52250,el charco,Municipio,"-78,110217","2,479688",ECR,,El Charco Airport,Colombia,el charco,https://www.worlddata.info/america/colombia/airports.php
52,NARIÑO,52356,ipiales,Municipio,"-77,646367","0,827732",IPI,SKIP,San Luis Airport,Colombia,ipiales,https://www.worlddata.info/america/colombia/airports.php
52,NARIÑO,52565,providencia,Municipio,"-77,596794","1,237814",PVA,SKPV,El Embrujo Airport,Colombia,providencia,https://www.worlddata.info/america/colombia/airports.php
54,NORTE DE SANTANDER,54498,ocaña,Municipio,"-73,35607","8,248574",OCV,SKOC,Aguas Claras Airport,Colombia,ocaña,https://www.worlddata.info/america/colombia/airports.php
54,NORTE DE SANTANDER,54810,tibú,Municipio,"-72,734496","8,639891",TIB,SKTB,Tibú Airport,Colombia,tibú,https://www.worlddata.info/america/colombia/airports.php
63,QUINDÍO,63001,armenia,Municipio,"-75,680786","4,53598",AXM,SKAR,El Eden Airport,Colombia,armenia,https://www.worlddata.info/america/colombia/airports.php
63,QUINDÍO,63001,armenia,Municipio,"-75,680786","4,53598",NAR,SKPN,Puerto Nare Airport,Colombia,armenia,https://www.worlddata.info/america/colombia/airports.php
66,RISARALDA,66001,pereira,Municipio,"-75,719711","4,804985",PEI,SKPE,Matecaña International Airport,Colombia,pereira,https://www.worlddata.info/america/colombia/airports.php
68,SANTANDER,68001,bucaramanga,Municipio,"-73,132562","7,11647",BGA,SKBG,Palonegro Airport,Colombia,bucaramanga,https://www.worlddata.info/america/colombia/airports.php
